date,temperature,humidity,pressure,precipitation,season,user_id,steps,active_minutes,stress_level,correlated_sleep_efficiency,correlated_sleep_rating
2024-01-01,2.2,69.9,1010.0,0.0,winter,939af11e-f5c1-4d3f-8f91-ff32e1956d78,3114,135,4,0.617808177277138,6
2024-01-01,2.2,69.9,1010.0,0.0,winter,8b7fae39-c449-4166-8692-34e557f8ffa9,3917,188,5,0.9,5
2024-01-01,2.2,69.9,1010.0,0.0,winter,4f321e8f-d956-4e04-9aa4-3d36cb3abc0e,11058,358,3,0.9115136193588667,7
2024-01-01,2.2,69.9,1010.0,0.0,winter,c4b22537-11fc-4faa-aaaa-d028252b6eea,7712,449,1,0.9107057382664998,9
2024-01-01,2.2,69.9,1010.0,0.0,winter,b02847d2-0842-4716-8d9f-340ecf56f61f,9323,405,1,0.8910223184820625,8
2024-01-01,2.2,69.9,1010.0,0.0,winter,886c642f-d1c4-45e3-bbfa-610d6dbc4016,7487,277,2,0.95,7
2024-01-01,2.2,69.9,1010.0,0.0,winter,45ede1d2-a7d1-4d0f-acd9-d0cb72c15d5b,10324,505,2,0.9104089522050247,8
2024-01-01,2.2,69.9,1010.0,0.0,winter,dcda90b7-d4f0-45af-ba57-09570e3b87cf,5052,255,5,0.6430992842578938,6
2024-01-01,2.2,69.9,1010.0,0.0,winter,63726e67-7798-4601-b1a6-19dff3e51919,6843,170,2,0.8891377483172291,6
2024-01-01,2.2,69.9,1010.0,0.0,winter,dffdc0fe-0d90-4f41-9b65-eead1fdf6a60,13070,302,4,0.85,7
2024-01-01,2.2,69.9,1010.0,0.0,winter,afdd9577-fa2f-4668-990a-fc17106dc00d,12769,643,1,0.8825598807508738,8
2024-01-01,2.2,69.9,1010.0,0.0,winter,d6060c5d-e398-49f9-9557-1d2a95370428,10851,512,3,0.7,8
2024-01-01,2.2,69.9,1010.0,0.0,winter,e2b8dbcd-a640-4afd-bf6d-181dce0968b1,2776,79,7,0.630266897681364,3
2024-01-01,2.2,69.9,1010.0,0.0,winter,20d0072e-fb4c-42f8-8f4c-d0d2ddfeb22c,7973,397,7,0.6,3
2024-01-01,2.2,69.9,1010.0,0.0,winter,f56ff65e-ebbf-470d-8955-e971230856a6,2973,150,5,0.6439837921857412,5
2024-01-01,2.2,69.9,1010.0,0.0,winter,9157a125-d6b3-4b5e-b0b8-387e459de457,7160,418,3,0.95,8
2024-01-01,2.2,69.9,1010.0,0.0,winter,23d0ad7e-5a38-4f5c-b238-cb26b0fa1812,11478,340,1,0.85,10
2024-01-01,2.2,69.9,1010.0,0.0,winter,94ec97ee-b939-49f5-8505-f457a424c10e,6999,284,3,0.7,6
2024-01-01,2.2,69.9,1010.0,0.0,winter,97599a95-2864-455f-af13-e9a9bbf0581f,2949,147,7,0.7229633867918439,4
2024-01-01,2.2,69.9,1010.0,0.0,winter,a6407d14-ae95-4353-a04f-dae0f84ddf1e,6293,216,6,0.6,4
2024-01-01,2.2,69.9,1010.0,0.0,winter,028ede75-512e-4fb2-8c7b-897278448489,7164,240,6,0.7521225504203239,5
2024-01-01,2.2,69.9,1010.0,0.0,winter,fa7b164f-85d1-4c8d-9e91-d9a35e3b63fa,3854,148,2,0.8,7
2024-01-01,2.2,69.9,1010.0,0.0,winter,1d3c560a-3d9b-40ee-ae54-3ce46874e739,10699,356,3,0.9461589772947466,8
2024-01-01,2.2,69.9,1010.0,0.0,winter,e13affbc-7b70-453d-855b-7e7f6ae07443,12367,632,8,1.3975524390891323,3
2024-01-01,2.2,69.9,1010.0,0.0,winter,ff71276c-39cf-4a9b-ae8f-ce69d2cbb70d,13417,747,1,0.85,8
2024-01-01,2.2,69.9,1010.0,0.0,winter,c6d091b7-1de4-45f1-912a-e15edec49f33,7506,207,4,0.8793869279382096,7
2024-01-01,2.2,69.9,1010.0,0.0,winter,1c808fe3-0e05-4f52-988e-9007a363e7e5,6345,374,1,0.9,8
2024-01-01,2.2,69.9,1010.0,0.0,winter,d10418f0-86aa-457b-96ca-f5b7ea5aa907,5685,252,3,0.6,7
2024-01-01,2.2,69.9,1010.0,0.0,winter,3d952559-7afd-41f1-9f30-64bb40cf5ce4,6854,228,1,0.95,9
2024-01-01,2.2,69.9,1010.0,0.0,winter,b9dc3313-7d3b-4914-a30a-3afc89a40d0f,5030,110,4,0.85,6
2024-01-01,2.2,69.9,1010.0,0.0,winter,94cd830d-ef63-4345-9ef7-5868b7d3b3f2,10342,444,1,0.85,10
2024-01-01,2.2,69.9,1010.0,0.0,winter,d2bce506-8b0d-44ce-a5ce-57b2f5dba521,10494,392,2,0.95,9
